30 Arietis Bb,9.88,,335.1,0.995,,radial vel.,2009,128.6,1.16,6300,,https://en.wikipedia.org/wiki/30_Arietis_Bb
38 Virginis b,4.51,,825.9,1.82,,radial vel.,2002,106.8,1.18,6557,,https://en.wikipedia.org/wiki/38_Virginis_b
4 Ursae Majoris b,7.1,,269.3,0.87,,radial vel.,2006,252,1.23,4415,,https://en.wikipedia.org/wiki/4_Ursae_Majoris_b
41 Lyncis b,2.7,,184.02,0.81,,radial vel.,2007,287.9,2.1,4753,,https://en.wikipedia.org/wiki/41_Lyncis_b
42 Draconis b,3.88,,479.1,1.19,,radial vel.,2008,317.3,0.98,4200,,https://en.wikipedia.org/wiki/42_Draconis_b
47 Ursae Majoris c,0.54,,2391,3.6,,radial vel.,2001,45.9,1.03,5892,,https://en.wikipedia.org/wiki/47_Ursae_Majoris_c
47 Ursae Majoris d,1.64,,14002,11.6,,radial vel.,2009,45.9,1.03,5892,,https://en.wikipedia.org/wiki/47_Ursae_Majoris_d
54 Piscium b,0.229,,62.218,0.295,,radial vel.,2003,36,0.88,5221,,https://en.wikipedia.org/wiki/54_Piscium_b
55 Cancri c,0.1714,,44.4175,0.241376,,radial vel.,2004,40.9,0.91,5196,,https://en.wikipedia.org/wiki/55_Cancri_c
55 Cancri d,3.878,,4825,5.503,,radial vel.,2002,40.9,0.91,5196,,https://en.wikipedia.org/wiki/55_Cancri_d
55 Cancri e,0.02542,0.17,0.736539,0.01544,,radial vel.,2004,40.9,0.91,5196,,https://en.wikipedia.org/wiki/55_Cancri_e
55 Cancri f,0.141,,262,0.788,,radial vel.,2007,40.9,0.91,5196,,https://en.wikipedia.org/wiki/55_Cancri_f
6 Lyncis b,2.21,,874.774,2.18,,radial vel.,2008,185.7,1.7,4978,,https://en.wikipedia.org/wiki/6_Lyncis_b
61 Virginis b,0.016,,4.215,0.050201,,radial vel.,2009,27.8,0.94,5577,,https://en.wikipedia.org/wiki/61_Virginis_b
61 Virginis c,0.057,,38.021,0.2175,,radial vel.,2009,27.8,0.94,5577,,https://en.wikipedia.org/wiki/61_Virginis_c
61 Virginis d,0.072,,123.01,0.476,,radial vel.,2009,27.8,0.94,5577,,https://en.wikipedia.org/wiki/61_Virginis_d
79 Ceti b,0.26,,75.523,0.363,,radial vel.,2000,117.1,1.12,5794,,https://en.wikipedia.org/wiki/79_Ceti_b
81 Ceti b,5.3,,952.7,2.5,,radial vel.,2008,317.0,2.4,4785,,https://en.wikipedia.org/wiki/81_Ceti_b
83 Leonis Bb,0.079,,17.054,0.123,,radial vel.,2004,182,0.85,4929,,https://en.wikipedia.org/wiki/83_Leonis_Bb
91 Aquarii b,3.2,,181.4,0.7,,radial vel.,2003,148.5,1.4,4665,,https://en.wikipedia.org/wiki/91_Aquarii_b
94 Ceti Ab,1.37,,466.2,1.305,,radial vel.,2003,73.0,1.36,6188,,https://en.wikipedia.org/wiki/94_Ceti_Ab
AB Pictoris b,13.5,,,260,,imaging,2005,148.5,,,,https://en.wikipedia.org/wiki/AB_Pictoris_b
BD+14 4559 b,1.47,,268.94,0.777,,radial vel.,2009,163.2,0.86,5008,,https://en.wikipedia.org/wiki/BD%2B14_4559_b
BD+20 2457 b,21.42,,379.63,1.45,,radial vel.,2009,650 ± 330,2.8,4137,,https://en.wikipedia.org/wiki/BD%2B20_2457_b
BD+20 2457 c,12.47,,621.99,2.01,,radial vel.,2009,650 ± 330,2.8,4137,,https://en.wikipedia.org/wiki/BD%2B20_2457_c
BD-08 2823 b,0.045,,5.6,0.056,,radial vel.,2009,137.3,0.74,4746,,https://en.wikipedia.org/wiki/BD-08_2823_b
BD-08 2823 c,0.33,,237.6,0.68,,radial vel.,2009,137.3,0.74,4746,,https://en.wikipedia.org/wiki/BD-08_2823_c
BD-10 3166 b,0.458,,3.48777,0.0452,,radial vel.,2000,260,1.01,5393,,https://en.wikipedia.org/wiki/BD-10_3166_b
BD-17 63 b,5.1,,655.6,1.34,,radial vel.,2008,122.4,0.74,4714,,https://en.wikipedia.org/wiki/BD-17_63_b
Beta Pictoris b,,,7665,9.1,,imaging,2008,62.9,1.76,,,https://en.wikipedia.org/wiki/Beta_Pictoris_b
Chi Virginis b,11.09,,835.477,2.14,,radial vel.,2009,290,2.17,4445,,https://en.wikipedia.org/wiki/Chi_Virginis_b
CHXR 73 b,12.569,,,210,,imaging,2006,550,0.35,,,https://en.wikipedia.org/wiki/CHXR_73_b
CT Chamaeleontis b,17,2.2,,440,,imaging,2007,540,,,,https://en.wikipedia.org/wiki/CT_Chamaeleontis_b
COROT-1b,1.03,1.49,1.5089557,,,transit,2008,1560,0.95,5950,,https://en.wikipedia.org/wiki/COROT-1b
COROT-2b,3.47,1.466,1.7429935,0.02798,,transit,2008,650,0.96,5625,,https://en.wikipedia.org/wiki/COROT-2b
COROT-3b,21.66,1.01,4.2568,,,transit,2008,2200,1.37,6740,,https://en.wikipedia.org/wiki/COROT-3b
COROT-4b,0.72,1.19,9.20205,0.09,,transit,2008,2507 ± 205,1.16,6190,,https://en.wikipedia.org/wiki/COROT-4b
COROT-5b,0.467,1.388,4.0378962,0.04947,,transit,2009,1304,1,6100,,https://en.wikipedia.org/wiki/COROT-5b
COROT-6b,2.96,1.166,8.886593,0.0855,,transit,2009,2085 ± 66,1.05,6090,,https://en.wikipedia.org/wiki/COROT-6b
COROT-7b,0.018,0.141,0.85359159,0.017016,,transit,2009,501,0.91,5259,,https://en.wikipedia.org/wiki/COROT-7b
COROT-7c,0.02643,,3.698,0.046,,radial vel.,2009,501,0.91,5259,,https://en.wikipedia.org/wiki/COROT-7c
COROT-9b,0.84,1.05,95.2738,0.407,,transit,2009,1500,0.99,5625,,https://en.wikipedia.org/wiki/COROT-9b
DH Tauri b,11,,,330,,imaging,2004,460,0.33,,,https://en.wikipedia.org/wiki/DH_Tauri_b
DP Leonis b,6.05,,10220,8.19,,timing,2009,1304,0.69,,,https://en.wikipedia.org/wiki/DP_Leonis_b
Epsilon Eridani b,1.55,,2502,3.39,,radial vel.,2000,10.5,0.83,,Controversial,https://en.wikipedia.org/wiki/Epsilon_Eridani_b
Epsilon Reticuli Ab,1.56,,428.1,1.271,,radial vel.,2000,59.5,1.23,4846,,https://en.wikipedia.org/wiki/Epsilon_Reticuli_Ab
Epsilon Tauri b,7.6,,594.9,1.93,,radial vel.,2006,155.0,2.7,4901,,https://en.wikipedia.org/wiki/Epsilon_Tauri_b
Eta2 Hydri b,6.54,,711,1.93,,radial vel.,2004,216.9,1.91,4970,,https://en.wikipedia.org/wiki/Eta2_Hydri_b
FU Tauri b,16,,,800,,imaging,2008,460,0.05,2838,,https://en.wikipedia.org/wiki/FU_Tauri_b
Fomalhaut b,,,555530,160,,imaging,2008,25.1,2,,First extrasolar planet discovered by indirect imaging (visible light)[3],https://en.wikipedia.org/wiki/Fomalhaut_b
Gamma1 Leonis b,8.78,,428.5,1.19,,radial vel.,2009,125.6,1.23,4330,,https://en.wikipedia.org/wiki/Gamma1_Leonis_b
Gamma Cephei Ab,1.85,,903.3,2.05,,radial vel.,2003,45.0,1.4,,,https://en.wikipedia.org/wiki/Gamma_Cephei_Ab
Gliese 179 b,0.82,,2288,2.41,,radial vel.,2009,39.5,0.36,3370,,https://en.wikipedia.org/wiki/Gliese_179_b
Gliese 317 b,2.5,,692,1.15,,radial vel.,2007,49,0.42,3510,,https://en.wikipedia.org/wiki/Gliese_317_b
Gliese 436 b,0.07,0.372,2.64388312,0.0291,,radial vel.,2004,33.4,0.47,,,https://en.wikipedia.org/wiki/Gliese_436_b
Gliese 581 b,0.0497,,5.3686,0.04061,,radial vel.,2005,20.5,0.31,,,https://en.wikipedia.org/wiki/Gliese_581_b
